YEAR,NAME,AGE,ASCENT,TOTAL
1976,RICK TRUJILLO,28.0,2.165,3.571
1976,TED CASTANEDA,24.0,2.351,3.893
1976,ROBERT BUNNELL,25.0,2.438,3.917
1976,MACLEAN WILSON,18.0,2.388,3.968
1976,MIKE HARRIE,21.0,2.382,3.993
1976,DONNY ORTIZ,19.0,2.697,4.167
1976,CRAIG GROSSMAN,30.0,2.646,4.239
1976,ROBERT L MCANDREWS,36.0,2.617,4.294
1976,BILL MCDERMOTT,25.0,2.744,4.372
1976,ROBERT TEGTMEIER,27.0,2.8,4.422
1976,MIKE FRYT,21.0,2.882,4.481
1976,JEFF COLLINS,22.0,2.714,4.529
1976,JERRY DENNISON,31.0,2.61,4.529
1976,ANTHONY SUNDERMEIER,16.0,2.982,4.66
1976,JOHN LECLAIRE,25.0,2.834,4.672
1976,VAL MURRAY,17.0,2.715,4.706
1976,HYKE VAN DER WAL,38.0,2.979,4.715
1976,GEORGE CORN,28.0,3.085,4.717
1976,CARL MCDANIEL,32.0,3.047,4.739
1976,TERRY G LEEPER,32.0,2.981,4.742
1976,VERNE W CARLSON,43.0,2.922,4.745
1976,JACK MCGHEE,24.0,2.94,4.773
1976,PETER STOREY,20.0,2.909,4.776
1976,SKIP SUTTON,23.0,,4.777
1976,DON MACINTOSH,44.0,3.056,4.784
1976,RICK MCLAUGHLIN,22.0,3.082,4.789
1976,STEVE BOWLING,16.0,3.137,4.818
1976,KEN MOFFITT,24.0,2.583,4.819
1976,RICHARD L SADOWSKE,29.0,2.874,4.82
1976,ABE UNDERWOOD,38.0,3.333,4.821
1976,STEVE GACHUPIN,33.0,3.167,4.833
1976,JOHN KAILIN LINK,39.0,2.791,4.843
1976,JOHN FRANCIS,41.0,3.103,4.848
1976,PAUL BUHL,17.0,2.911,4.904
1976,ARTURO MEJIA,17.0,3.327,4.912
1976,RALPH L CRUME,27.0,3.01,4.937
1976,RAYMOND HARDY,28.0,3.081,4.951
1976,BRICE HAMMERSTEIN,25.0,2.933,4.99
1976,GARY L WHITLOCK,36.0,2.946,4.995
1976,WILLIAM M SERGEANT,35.0,3.142,4.995
1976,JOHN WHITEHOUSE,39.0,3.162,5.009
1976,KURT M MARKUS,29.0,3.019,5.021
1976,TERRY MOORES,27.0,3.083,5.032
1976,LEO HILDERBRANDT,29.0,2.965,5.034
1976,JOHN ALTEMUS,20.0,2.623,5.062
1976,JOHN ENGLE,33.0,3.163,5.095
1976,FRED M SCHWAZER,24.0,3.274,5.103
1976,BILL JACKSON,48.0,3.127,5.138
1976,MICHAEL L SCULL,28.0,3.153,5.148
1976,PETER K WEINRICH,17.0,3.097,5.15
1976,CHRIS JANOFF,36.0,3.278,5.163
1976,CLAUDE OLEYAR,32.0,3.229,5.18
1976,GENE WHITE,42.0,3.076,5.184
1976,ROBERT GROSSER,19.0,3.164,5.192
1976,DAVID M LAWRENCE,31.0,3.228,5.247
1976,RICHARD J HARRIS,36.0,3.281,5.247
1976,EDWARD WRIGHT,26.0,3.276,5.274
1976,KEN BROWN,24.0,3.127,5.28
1976,BILL F CORWIN,27.0,3.218,5.281
1976,FRANK GALLICK,18.0,3.389,5.331
1976,JOE JAWONSKI,30.0,3.251,5.336
1976,ANDREW LEVINSON,28.0,3.079,5.338
1976,JOHN O'CONNOR,27.0,3.399,5.346
